Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,Auspiciante,Long Parameter List,The method has 7 parameters. ,17
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Long Statement,The length of the statement "Auspiciante au1=new Auspiciante(1`"Vet Cruz del Sur"`"direccion1"`"11111111"`Ciudad.cargarCiudades().get(0)`"email1@gmail.com"`"webpage1.com");" is 143.,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Long Statement,The length of the statement "Auspiciante au2=new Auspiciante(2`"Dog Chow"`"direccion2"`"22222222"`Ciudad.cargarCiudades().get(1)`"email2@gmail.com"`"webpage2.com");" is 135.,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Long Statement,The length of the statement "Auspiciante au3=new Auspiciante(3`"Dr Pet"`"direccion3"`"33333333"`Ciudad.cargarCiudades().get(2)`"email3@gmail.com"`"webpage3.com");" is 133.,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Long Statement,The length of the statement "Auspiciante au4=new Auspiciante(4`"Patitas limpias"`"direccion4"`"44444444"`Ciudad.cargarCiudades().get(3)`"email4@gmail.com"`"webpage4.com");" is 142.,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Magic Number,The method contains a magic number: 2,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Magic Number,The method contains a magic number: 3,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Magic Number,The method contains a magic number: 2,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Magic Number,The method contains a magic number: 4,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,generarArchivoAuspiciantes,Magic Number,The method contains a magic number: 3,99
Pet-Contest-Management-System-main,com.mycompany.modelo,Ciudad,cargarCiudades,Magic Number,The method contains a magic number: 2,69
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,Concurso,Long Parameter List,The method has 11 parameters. ,38
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,Concurso,Long Parameter List,The method has 12 parameters. ,55
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,Concurso,Long Parameter List,The method has 13 parameters. ,72
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Long Statement,The length of the statement "Concurso con1=new Concurso(1`"Love Animals"`UtilDate.getDateFromString("2022-02-16")`"12:00"`UtilDate.getDateFromString("2022-01-26")`UtilDate.getDateFromString("2022-02-11")`Ciudad.cargarCiudades().get(1)`"Avenida nombre 1"`premiosConcurso1`Auspiciante.cargarListaAuspiciantes().get(0)`TipoAnimalesConcurso.TODOS);" is 315.,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Long Statement,The length of the statement "Concurso con2=new Concurso(2`"Match Canino"`UtilDate.getDateFromString("2022-02-17")`"13:00"`UtilDate.getDateFromString("2022-01-27")`UtilDate.getDateFromString("2022-02-12")`Ciudad.cargarCiudades().get(0)`"Avenida nombre 3"`premiosConcurso2`Auspiciante.cargarListaAuspiciantes().get(1)`TipoAnimalesConcurso.TODOS);" is 315.,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Long Statement,The length of the statement "Concurso con3=new Concurso(3`"Happy Paws"`UtilDate.getDateFromString("2022-02-18")`"14:00"`UtilDate.getDateFromString("2022-01-28")`UtilDate.getDateFromString("2022-02-13")`Ciudad.cargarCiudades().get(2)`"Avenida nombre 2"`premiosConcurso3`Auspiciante.cargarListaAuspiciantes().get(2)`TipoAnimalesConcurso.TODOS);" is 313.,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Long Statement,The length of the statement "Concurso con4=new Concurso(4`"Heroes Gatunos"`UtilDate.getDateFromString("2021-11-16")`"11:00"`UtilDate.getDateFromString("2021-10-26")`UtilDate.getDateFromString("2021-11-11")`Ciudad.cargarCiudades().get(0)`"14 y Francisco segura"`premiosConcurso4`Auspiciante.cargarListaAuspiciantes().get(2)`TipoAnimalesConcurso.GATOS`listaConcursantes4`listaGanadores4);" is 357.,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Long Statement,The length of the statement "Concurso con5=new Concurso(5`"Heroes Caninos"`UtilDate.getDateFromString("2021-11-17")`"12:00"`UtilDate.getDateFromString("2021-10-27")`UtilDate.getDateFromString("2021-11-12")`Ciudad.cargarCiudades().get(1)`"10 y Francisco segura"`premiosConcurso5`Auspiciante.cargarListaAuspiciantes().get(1)`TipoAnimalesConcurso.PERROS`listaConcursantes5`listaGanadores5);" is 358.,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 3,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 10,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 6,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 3,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 4,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 2,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 4,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 20,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 6,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 3,308
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,crearArchivoConcursos,Magic Number,The method contains a magic number: 5,308
Pet-Contest-Management-System-main,com.mycompany.modelo,DuenioMascota,DuenioMascota,Long Parameter List,The method has 7 parameters. ,18
Pet-Contest-Management-System-main,com.mycompany.modelo,DuenioMascota,cargarDuenios,Long Statement,The length of the statement "DuenioMascota d=new DuenioMascota(Integer.parseInt(datos[0])`datos[1]`datos[2]`datos[3]`datos[4]`new Ciudad(datos[5])`datos[6]);" is 128.,60
Pet-Contest-Management-System-main,com.mycompany.modelo,DuenioMascota,cargarDuenios,Magic Number,The method contains a magic number: 2,60
Pet-Contest-Management-System-main,com.mycompany.modelo,DuenioMascota,cargarDuenios,Magic Number,The method contains a magic number: 3,60
Pet-Contest-Management-System-main,com.mycompany.modelo,DuenioMascota,cargarDuenios,Magic Number,The method contains a magic number: 4,60
Pet-Contest-Management-System-main,com.mycompany.modelo,DuenioMascota,cargarDuenios,Magic Number,The method contains a magic number: 5,60
