Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Tetris-master,org.psnbtech,BoardPanel,BoardPanel,6,1,1,110,0,,
Tetris-master,org.psnbtech,BoardPanel,clear,7,3,0,122,0,,
Tetris-master,org.psnbtech,BoardPanel,isValidAndEmpty,16,6,4,137,0,org.psnbtech.BoardPanel,org.psnbtech.BoardPanel
Tetris-master,org.psnbtech,BoardPanel,addPiece,9,4,4,173,0,org.psnbtech.BoardPanel,org.psnbtech.BoardPanel
Tetris-master,org.psnbtech,BoardPanel,checkLines,9,3,0,196,0,org.psnbtech.BoardPanel,org.psnbtech.BoardPanel
Tetris-master,org.psnbtech,BoardPanel,checkLine,13,5,1,220,0,org.psnbtech.BoardPanel,org.psnbtech.BoardPanel
Tetris-master,org.psnbtech,BoardPanel,isOccupied,3,1,2,249,0,,
Tetris-master,org.psnbtech,BoardPanel,setTile,3,1,3,259,0,,
Tetris-master,org.psnbtech,BoardPanel,getTile,3,1,2,269,0,,
Tetris-master,org.psnbtech,BoardPanel,paintComponent,65,16,1,279,0,org.psnbtech.Tetris,org.psnbtech.Tetris; org.psnbtech.BoardPanel
Tetris-master,org.psnbtech,BoardPanel,drawTile,3,1,4,390,0,org.psnbtech.BoardPanel,org.psnbtech.BoardPanel
Tetris-master,org.psnbtech,BoardPanel,drawTile,12,2,6,401,0,,
Tetris-master,org.psnbtech,Clock,Clock,4,1,1,37,0,org.psnbtech.Clock,org.psnbtech.Clock
Tetris-master,org.psnbtech,Clock,setCyclesPerSecond,3,1,1,46,0,,
Tetris-master,org.psnbtech,Clock,reset,6,1,0,54,0,org.psnbtech.Clock,org.psnbtech.Clock
Tetris-master,org.psnbtech,Clock,update,9,2,0,66,0,org.psnbtech.Clock,org.psnbtech.Clock
Tetris-master,org.psnbtech,Clock,setPaused,3,1,1,87,0,,
Tetris-master,org.psnbtech,Clock,isPaused,3,1,0,97,0,,
Tetris-master,org.psnbtech,Clock,hasElapsedCycle,7,2,0,105,0,,
