Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
TicTacToe-main,com.espol.tictactoe,App,1,0,4,4,21,4,0,0,0.5,4,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\App.java,11
TicTacToe-main,com.espol.tictactoe.controller,End,1,0,1,0,7,1,0,0,0.0,0,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\controller\End.java,7
TicTacToe-main,com.espol.tictactoe.controller,GamePlay,10,1,18,13,193,32,0,0,0.0,4,7,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\controller\GamePlay.java,28
TicTacToe-main,com.espol.tictactoe.controller,History,1,0,3,1,20,3,0,0,0.6666666666666666,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\controller\History.java,10
TicTacToe-main,com.espol.tictactoe.controller,Home,3,0,5,1,32,5,0,0,0.0,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\controller\Home.java,9
TicTacToe-main,com.espol.tictactoe.controller,StartConfiguration,10,0,9,1,85,10,0,0,0.2222222222222222,0,6,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\controller\StartConfiguration.java,24
TicTacToe-main,com.espol.tictactoe.controller,Winner,3,0,3,2,22,4,0,0,0.6666666666666666,1,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\controller\Winner.java,13
TicTacToe-main,com.espol.tictactoe.ds,Tree,1,0,10,10,49,14,0,0,0.0,3,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\ds\Tree.java,7
TicTacToe-main,com.espol.tictactoe.ds,TreeNode,3,0,6,6,24,6,0,0,0.0,1,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\ds\TreeNode.java,6
TicTacToe-main,com.espol.tictactoe.logic,GameMode,0,0,3,3,5,3,3,0,-1.0,2,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\logic\GameMode.java,5
TicTacToe-main,com.espol.tictactoe.logic,HumanvsHuman,0,0,3,3,11,3,0,1,-1.0,0,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\logic\HumanvsHuman.java,6
TicTacToe-main,com.espol.tictactoe.logic,PcvsHuman,0,0,3,3,11,3,0,1,-1.0,0,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\logic\PcvsHuman.java,7
TicTacToe-main,com.espol.tictactoe.logic,PcvsPc,0,0,3,3,11,3,0,1,-1.0,0,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\logic\PcvsPc.java,6
TicTacToe-main,com.espol.tictactoe.model,Bot,0,0,7,5,73,17,0,1,-1.0,2,5,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\model\Bot.java,13
TicTacToe-main,com.espol.tictactoe.model,Game,5,0,14,14,74,19,0,0,0.21428571428571427,6,6,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\model\Game.java,6
TicTacToe-main,com.espol.tictactoe.model,Human,0,0,3,3,33,4,0,1,-1.0,0,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\model\Human.java,7
TicTacToe-main,com.espol.tictactoe.model,Main,0,0,1,1,19,2,0,0,-1.0,0,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\model\Main.java,6
TicTacToe-main,com.espol.tictactoe.model,Matrix,1,0,9,8,83,27,0,0,0.0,5,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\model\Matrix.java,6
TicTacToe-main,com.espol.tictactoe.model,Player,2,0,9,9,30,9,2,0,0.5555555555555556,6,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\model\Player.java,5
TicTacToe-main,com.espol.tictactoe.model,Symbol,0,0,0,0,1,0,0,0,-1.0,8,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\model\Symbol.java,5
TicTacToe-main,com.espol.tictactoe.state,GamePlayContext,2,0,2,2,10,2,0,0,1.0,2,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\state\GamePlayContext.java,5
TicTacToe-main,com.espol.tictactoe.state,GamePlayData,1,0,1,0,23,1,0,0,0.0,0,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E19\Repo2\TicTacToe-main\TicTacToe-main\src\main\java\com\espol\tictactoe\state\GamePlayData.java,13
